,student_id,avg_time,taken_quiz,exam_quiz,hub_quiz,purchased
0,258798,0.3,0,0,0,0
1,258800,18.317241379310346,1,1,0,1
2,258803,32.631578947368425,1,1,1,1
3,258804,14.2,1,0,0,0
4,258807,1.8,0,0,0,0
5,258809,17.766666666666666,1,0,0,0
6,258810,3.2,0,0,0,0
7,258811,10.475,1,0,0,0
8,258812,2.2,0,0,0,0
9,258813,2.1,0,0,0,0
10,258814,4.4,0,0,0,0
11,258815,29.0,0,1,0,0
12,258816,0.8,0,0,0,0
13,258817,0.4,0,0,0,0
14,258818,18.084415584415584,1,1,1,1
15,258819,6.6,1,0,0,0
16,258822,25.513333333333332,1,1,1,1
17,258824,1.3,0,0,0,0
18,258826,0.3,0,0,0,0
19,258827,0.3,0,0,0,0
20,258828,0.4,0,0,0,0
21,258829,12.5,0,0,0,0
22,258830,0.9,0,0,0,0
23,258831,0.1,0,0,0,0
24,258832,27.15454545454546,1,1,0,1
25,258833,1.3,0,0,0,0
26,258834,21.9,1,0,0,0
27,258837,11.9,1,0,0,0
28,258840,21.05,1,0,0,0
29,258841,0.30000000000000004,0,0,0,0
30,258845,67.6608695652174,1,1,0,0
31,258846,6.9,0,0,0,0
32,258848,0.1,0,0,0,0
33,258849,12.0,1,0,0,0
34,258851,6.6,1,0,0,0
35,258852,0.1,0,0,0,0
36,258855,0.2,0,0,0,0
37,258857,0.8,1,0,0,0
38,258860,12.2,1,0,0,0
39,258861,10.8,1,0,0,0
40,258862,30.452380952380953,1,1,0,1
41,258865,22.75,1,1,0,1
42,258869,1.2,0,0,0,0
43,258870,1.5666666666666664,0,0,0,0
44,258871,2.2,0,0,0,0
45,258872,63.8,1,1,0,0
46,258876,14.720000000000002,1,0,0,0
47,258878,66.85,1,1,0,1
48,258879,1.2,0,0,0,0
49,258880,24.400000000000002,1,0,0,0
50,258881,1.9,1,0,0,0
51,258882,0.5,0,0,0,0
52,258883,10.0,1,1,0,1
53,258884,0.3,0,0,0,0
54,258885,30.85,1,1,0,0
55,258887,0.1,0,0,0,0
56,258888,0.7,0,0,0,0
57,258890,1.2,0,0,0,0
58,258892,3.733333333333333,0,0,0,0
59,258893,25.3,1,0,0,0
60,258894,62.0,1,0,0,0
61,258895,11.2,1,0,0,0
62,258897,0.1,0,0,0,0
63,258902,9.45,1,0,0,0
64,258903,9.3,1,0,0,0
65,258904,36.5,1,0,0,0
66,258905,3.6,0,0,0,0
67,258906,27.822222222222223,1,1,0,0
68,258907,12.3,1,0,0,0
69,258908,55.88000000000001,1,1,0,1
70,258910,6.6,1,0,0,0
71,258912,5.166666666666667,1,0,0,0
72,258913,35.69024390243902,1,1,0,1
73,258914,2.8,0,0,0,0
74,258915,13.533333333333331,1,0,0,0
75,258916,45.166666666666664,1,1,0,1
76,258917,6.6,1,0,0,0
77,258920,65.3,1,0,0,0
78,258922,14.726666666666667,1,1,0,1
79,258924,40.388888888888886,1,0,0,0
80,258925,6.7,0,0,0,0
81,258927,2.8499999999999996,0,0,0,0
82,258929,21.9,1,1,0,0
83,258930,14.661538461538461,1,1,0,1
84,258933,2.9,0,0,0,0
